Regel;Tijdstip aangemaakt;Meldingsoort;Melding;Referentie
1;2019-08-18 02:00:02.812493;Mededeling;Batch job started.;
2;2019-08-18 02:00:02.812556;Transactie;Database changes committed.;
3;2019-08-18 02:00:02.91626;Mededeling;The task 'Initialise import directories' started.;
4;2019-08-18 02:00:02.916365;Mededeling;The task 'Initialise import directories' ended.;
5;2019-08-18 02:00:02.916387;Transactie;Database changes committed.;
6;2019-08-18 02:00:03.02985;Mededeling;The task 'Move files' started.;
7;2019-08-18 02:00:03.029949;Succesmelding;The files from directory 00983 have been successfully moved to /data/MIS/importMIS/inprocessing/00983.;
8;2019-08-18 02:00:03.030006;Mededeling;The task 'Move files' ended.;
9;2019-08-18 02:00:03.030073;Transactie;Database changes committed.;
10;2019-08-18 02:00:33.65744;Mededeling;The task 'Import Reference data product to MIS' started.;
11;2019-08-18 02:00:33.657572;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_product_ref_00983.xml.gz' has been initialized.;
12;2019-08-18 02:00:33.657626;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_product_ref_00983.xml.gz' has been successfully completed.;
13;2019-08-18 02:00:33.657676;Transactie;Database changes committed.;
14;2019-08-18 02:00:33.665159;Mededeling;The task 'Import Reference data product to MIS' ended.;
15;2019-08-18 02:00:33.665259;Transactie;Database changes committed.;
16;2019-08-18 02:00:33.910121;Mededeling;The task 'Import product to MIS' started.;
17;2019-08-18 02:00:33.910213;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_product_00983.xml.gz' has been initialized.;
18;2019-08-18 02:00:33.910274;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_product_00983.xml.gz' has been successfully completed.;
19;2019-08-18 02:00:33.910323;Transactie;Database changes committed.;
20;2019-08-18 02:00:33.917615;Mededeling;0 Product(s) are successfully imported, 0 Product(s) have not been imported due to errors.;
21;2019-08-18 02:00:33.917659;Mededeling;The task 'Import product to MIS' ended.;
22;2019-08-18 02:00:33.917682;Transactie;Database changes committed.;
23;2019-08-18 02:00:34.067606;Mededeling;The task 'Import Reference data agreements to MIS' started.;
24;2019-08-18 02:00:34.067706;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_agreements_ref_00983.xml.gz' has been initialized.;
25;2019-08-18 02:00:34.06776;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_agreements_ref_00983.xml.gz' has been successfully completed.;
26;2019-08-18 02:00:34.067821;Transactie;Database changes committed.;
27;2019-08-18 02:00:34.074707;Mededeling;The task 'Import Reference data agreements to MIS' ended.;
28;2019-08-18 02:00:34.074749;Transactie;Database changes committed.;
29;2019-08-18 02:00:34.155607;Mededeling;The task 'Import agreements to MIS' started.;
